Interacao 	 	 1 	 	 2 		 3 		 4	 	 5	 	 6 		 7 		 8 
15 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.06449510224598, [2, 4, 0, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.242640687119284, [6, 1, 5, 3, 4, 0, 2]) 		(9.06449510224598, [6, 2, 4, 0, 3, 1, 5]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 3, 1, 5]) 		
16 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.06449510224598, [2, 4, 0, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.242640687119284, [6, 1, 5, 3, 4, 0, 2]) 		(9.06449510224598, [6, 2, 4, 0, 3, 1, 5]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 3, 1, 5]) 		
17 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.06449510224598, [2, 4, 0, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.242640687119284, [6, 1, 5, 3, 4, 0, 2]) 		(9.06449510224598, [6, 2, 4, 0, 3, 1, 5]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 3, 1, 5]) 		
18 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.06449510224598, [2, 4, 0, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.242640687119284, [6, 1, 5, 3, 4, 0, 2]) 		(9.06449510224598, [6, 2, 4, 0, 3, 1, 5]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 3, 1, 5]) 		
19 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.06449510224598, [2, 4, 0, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.06449510224598, [2, 0, 4, 1, 3, 5, 6]) 		(9.06449510224598, [6, 2, 4, 0, 3, 1, 5]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 3, 1, 5]) 		
20 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.06449510224598, [2, 4, 0, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.06449510224598, [2, 0, 4, 1, 3, 5, 6]) 		(9.06449510224598, [6, 2, 4, 0, 3, 1, 5]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 3, 1, 5]) 		
21 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.06449510224598, [2, 4, 0, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.06449510224598, [2, 0, 4, 1, 3, 5, 6]) 		(9.06449510224598, [6, 2, 4, 0, 3, 1, 5]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 3, 1, 5]) 		
22 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.06449510224598, [2, 4, 0, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.06449510224598, [2, 0, 4, 1, 3, 5, 6]) 		(9.06449510224598, [6, 2, 4, 0, 3, 1, 5]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 3, 1, 5]) 		
23 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.06449510224598, [2, 4, 0, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.06449510224598, [2, 0, 4, 1, 3, 5, 6]) 		(9.06449510224598, [6, 2, 4, 0, 3, 1, 5]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 3, 1, 5]) 		
24 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.06449510224598, [2, 4, 0, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.06449510224598, [2, 0, 4, 1, 3, 5, 6]) 		(9.06449510224598, [6, 2, 4, 0, 3, 1, 5]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 3, 1, 5]) 		
